GERAÇÃO 123:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 124:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 125:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 126:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 127:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 128:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 129:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 130:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 131:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 132:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 133:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 134:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 135:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 136:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 137:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 138:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 139:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 140:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 141:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 142:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 143:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 144:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 145:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 146:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 147:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 148:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 149:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 150:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 151:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 152:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 153:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 154:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 155:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
